producto_normalizado,marketplace,url_producto,titulo_detectado,imagen_url,imagen_local,estado_extraccion
Conector rápido Truper 19083,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-3146800146-conector-rapido-de-laton-tipo-m-14-npt-macho-truper-19083-_JM,Conector Rápido De Latón Tipo M 1/4´´ Npt Macho Truper 19083 - $ 142,https://http2.mlstatic.com/D_NQ_NP_893942-MLM76860119288_062024-O-conector-rapido-de-laton-tipo-m-14-npt-macho-truper-19083.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\conector-r-pido-truper-19083.jpg,ok
Cople Truper 19085,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-2054520833-cople-de-laton-cuerda-14-npt-macho-truper-19085-_JM,Cople De Latón Cuerda 1/4 Npt Macho Truper 19085 - $ 117,https://http2.mlstatic.com/D_NQ_NP_737808-MLM75768098624_042024-O-cople-de-laton-cuerda-14-npt-macho-truper-19085.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\cople-truper-19085.jpg,ok
Tubo para PCR 30 bolsas,Amazon,https://www.amazon.com.mx/dp/B0963DSST2,"ZHIBANG 1000 tubos de microcentrífuga de polipropileno con tapa a presión, 0,2 ml de tubo PCR : Amazon.com.mx: Industria, Empresas y Ciencia",https://m.media-amazon.com/images/I/91oA4I3aRES._SL1500_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\tubo-para-pcr-30-bolsas.jpg,ok
Escritorio Top Living Desk4,Mercado Libre,https://www.mercadolibre.com.mx/escritorio-oficina-top-living-desk4-para-computadora-estilo-industrial-120cm-x-122cm-x-60cm-color-madera-cafe-claro-y-negro/p/MLM15510229,Escritorio Oficina Desk-4 para computadora estilo industrial 120cm X 122cm X 60cm color madera Café Claro y Negro - $ 999,https://http2.mlstatic.com/D_NQ_NP_773628-MLA112401436503_052026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\escritorio-top-living-desk4.jpg,ok
Colorante amarillo 5 laca alumínica 500 g,Mercado Libre,https://www.mercadolibre.com.mx/amarillo-5-laca-aluminica-en-polvo-500g-tartrazina-fcf/up/MLMU701063090,"Amarillo 5 Laca Alumínica En Polvo 500g (tartrazina Fcf) - $ 1,499",https://http2.mlstatic.com/D_NQ_NP_729681-MLM27925417820_082018-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\colorante-amarillo-5-laca-alum-nica-500-g.jpg,ok
Probeta plástico 10 ml graduada,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-841058360-probeta-plastico-10ml-graduada-base-hexagonal-appcrom-_JM,Probeta Plastico 10ml Graduada Base Hexagonal. Appcrom - $ 95,https://http2.mlstatic.com/D_NQ_NP_756474-MLM115019027773_072026-O-probeta-plastico-10ml-graduada-base-hexagonal-appcrom.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\probeta-pl-stico-10-ml-graduada.jpg,ok
Jeringa de vidrio borosilicato,Amazon,https://www.amazon.com.mx/Borosilicato-Resistente-Laboratorios-Alimentaci%C3%B3n-Veterinaria/dp/B097DN1NTG,Jeringa de Vidrio de Borosilicato de 1 ml 2.25 ml Jeringa de Medición Precisa Resistente al Calor Antifugas para Aceites Alimentación Pegamento : Amazon.com.mx: Hogar y Cocina,https://m.media-amazon.com/images/I/71PFSMpzDkL._AC_SL1500_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\jeringa-de-vidrio-borosilicato.jpg,ok
Puntero láser verde recargable,Mercado Libre,https://www.mercadolibre.com.mx/puntero-laser-verde-proyector-carga-usb-recargable-5000mw/p/MLM38288542,"Puntero Láser Verde Proyector Carga Usb Recargable 5000mw,Linterna de luz verde, Portátil de alta potencia con carga USB para exteriores, Adecuado para Acampar, Cazar, Caminar, Astronomía y Emergencia",https://http2.mlstatic.com/D_NQ_NP_680317-MLA100047242979_122025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\puntero-l-ser-verde-recargable.jpg,ok
Azul de bromofenol 5 g,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-661819683-azul-de-bromofenol-5-g-fagalab-colorante-_JM,Azul De Bromofenol 5 G Fagalab Colorante - $ 460,https://http2.mlstatic.com/D_NQ_NP_824009-MLM90120379289_082025-O-azul-de-bromofenol-5-g-fagalab-colorante.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\azul-de-bromofenol-5-g.jpg,ok
Microplaca ELISA 96 pozos,Amazon,https://www.amazon.com.mx/515201-96-as%C3%AD-Inseparable-encuadernaci%C3%B3n-50-unidades-transparentes/dp/B074X6SF1D,"rodar Scientific 515201 96 así placa de elisa, Inseparable, de alta encuadernación, 50 unidades), transparentes : Amazon.com.mx: Industria, Empresas y Ciencia",https://m.media-amazon.com/images/I/51sQqG9ubNL._SL1200_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\microplaca-elisa-96-pozos.jpg,ok
